type,entry,sl,tp,profit,balance,result,time,hour,session
SELL,4367.338,4367.338,4348.150856527369,12.115784723301983,1021.7645116651338,WIN,2025-12-30 18:21:00,18,NewYork
BUY,4353.932,4350.093547356311,4369.285810574754,-3.0652935349954014,1018.6992181301384,LOSS,2025-12-30 20:37:00,20,NewYork
SELL,4348.84,4348.84,4335.621548961772,0.0,1018.6992181301384,BE,2025-12-30 20:45:00,20,NewYork
BUY,4343.438,4338.8504687335535,4361.7881250657865,-3.0560976543904155,1015.643120475748,LOSS,2025-12-31 00:07:00,0,Tokyo
SELL,4336.928,4340.994775570685,4320.660897717258,-3.046929361427244,1012.5961911143207,LOSS,2025-12-31 00:27:00,0,Tokyo
BUY,4345.146,4338.543713227087,4371.55514709165,-3.0377885733429624,1009.5584025409778,LOSS,2025-12-31 00:42:00,0,Tokyo
SELL,4360.092,4363.902355416061,4344.850578335753,-3.0286752076229333,1006.5297273333549,LOSS,2025-12-31 02:25:00,2,Tokyo
BUY,4370.17,4361.919485126575,4403.172059493701,-3.0195891820000647,1003.5101381513548,LOSS,2025-12-31 02:42:00,2,Tokyo
SELL,4353.901,4353.901,4314.762510048442,12.042121657816256,1015.552259809171,WIN,2025-12-31 02:51:00,2,Tokyo
BUY,4313.369,4313.369,4344.161562328173,0.0,1015.552259809171,BE,2025-12-31 06:38:00,6,Tokyo
SELL,4324.756,4324.756,4304.240536136839,12.186627117710053,1027.7388869268812,WIN,2025-12-31 08:09:00,8,London
BUY,4326.6089999999995,4316.749447337321,4366.047210650714,-3.0832166607806437,1024.6556702661005,LOSS,2025-12-31 09:27:00,9,London
SELL,4323.757,4323.757,4308.085759480151,12.295868043193206,1036.9515383092937,WIN,2025-12-31 10:27:00,10,London
BUY,4314.981,4311.271136299103,4329.8204548035865,-3.1108546149278813,1033.840683694366,LOSS,2025-12-31 11:50:00,11,London
SELL,4310.906,4310.906,4301.499511657291,0.0,1033.840683694366,BE,2025-12-31 12:00:00,12,London
BUY,4314.936,4308.859519356406,4339.241922574374,-3.101522051083098,1030.7391616432828,LOSS,2025-12-31 12:39:00,12,London
SELL,4310.657,4313.226220913564,4300.380116345744,-3.0922174849298485,1027.6469441583529,LOSS,2025-12-31 13:14:00,13,London
BUY,4313.697999999999,4313.697999999999,4323.329566431471,12.331763329900236,1039.9787074882531,WIN,2025-12-31 13:16:00,13,London
SELL,4335.014,4335.014,4304.841896902589,12.479744489859037,1052.4584519781122,WIN,2025-12-31 15:09:00,15,NewYork
BUY,4328.719,4322.623369514975,4353.101521940101,-3.1573753559343367,1049.3010766221778,LOSS,2025-12-31 17:37:00,17,NewYork
SELL,4322.319,4325.042254486136,4311.425982055459,-3.1479032298665337,1046.1531733923111,LOSS,2025-12-31 17:58:00,17,NewYork
BUY,4326.202,4323.174006311799,4338.313974752807,-3.138459520176934,1043.0147138721343,LOSS,2025-12-31 18:03:00,18,NewYork
SELL,4323.612,4325.115015546866,4317.599937812537,-3.129044141616403,1039.885669730518,LOSS,2025-12-31 18:08:00,18,NewYork
BUY,4328.1810000000005,4323.245975179886,4347.921099280458,-3.1196570091915534,1036.7660127213264,LOSS,2025-12-31 18:15:00,18,NewYork
SELL,4320.236,4320.236,4296.954632733507,0.0,1036.7660127213264,BE,2025-12-31 18:34:00,18,NewYork
BUY,4318.45,4311.4799935596175,4346.330025761529,-3.1102980381639793,1033.6557146831624,LOSS,2025-12-31 20:20:00,20,NewYork
